,chiller_power,cooling_capacity,uncontrollable_power,oat,time,ice_mass,t_cc_out,price,whole_building_power,whole_building_power_opt,state_of_charge,charging_rate,discharging_rate,rated_power,peak_load,peak_load_opt
7,3.779813668876493,14.752783776208826,69.3857,63.14,2017-08-21 07:00:00,1.5,31.514887879783927,4.675,73.1655136688765,79.70271999574155,36.91604586156554,6.537206324644665,0.0,-6.537206326865049,89.87808843811223,79.97934360419654
8,3.906832585531553,14.99375475942826,74.65363333333332,66.2,2017-08-21 08:00:00,1.5,36.2087728361112,4.675,78.56046591886486,79.77082882731284,39.697835787891094,1.2103629063926367,0.0,-1.2103629084479781,89.87808843811223,79.97934360419654
9,8.028854466477718,36.099135940153246,74.90799999999999,69.8,2017-08-21 09:00:00,1.5,17.037627443187866,9.083333333,82.93685446647771,74.90799926228893,40.21288383403917,1.7960843320489707e-11,8.028855204206748,8.028855204188785,89.87808843811223,79.97934360419654
10,5.844855436844482,25.9303648914802,75.66656666666667,69.8,2017-08-21 10:00:00,1.5,17.665138343404077,15.925,81.51142210351115,75.66656591445594,36.796349704597134,2.7453266163949163e-11,5.84485618908267,5.844856189055217,89.87808843811223,79.97934360419654
11,6.952540519343623,30.911021987218586,76.07876666666667,71.6,2017-08-21 11:00:00,1.5,17.55936576188858,15.925,83.0313071860103,76.07876591033394,34.30917685819066,2.2622639226342462e-11,6.952541275698987,6.9525412756763645,89.87808843811223,79.97934360419654
12,6.425558453586812,27.945213486579885,77.31003333333334,73.4,2017-08-21 12:00:00,1.5,18.74201899508283,9.083333333,83.73559178692015,77.31003257160194,31.350648655775185,1.4524437631932357e-12,6.425559215319663,6.425559215318211,89.87808843811223,79.97934360419654
13,6.368144730313042,27.1757462094405,74.81816666666667,75.2,2017-08-21 13:00:00,1.5,19.969543297177083,15.925,81.18631139697972,74.81816592293995,28.6163681386185,3.7851532929982e-11,6.368145474077628,6.3681454740397765,89.87808843811223,79.97934360419654
14,7.684084494285448,32.60568899858454,74.53659999999999,77.0,2017-08-21 14:00:00,1.5,20.384878803249993,15.925,82.22068449428544,74.53659925908894,25.906519000729233,3.9847755048846075e-11,7.68408523523634,7.684085235196493,89.87808843811223,79.97934360419654
15,11.445360801158472,46.534528082202335,75.39266666666667,77.0,2017-08-21 15:00:00,1.5,24.520661116277584,15.925,86.83802746782514,76.9392826482162,22.6366954963903,0.0,9.898744819532507,9.898744819608934,89.87808843811223,79.97934360419654
16,12.822688438112237,50.175307194805384,77.05539999999999,78.8,2017-08-21 16:00:00,1.5,30.928243015176122,15.925,89.87808843811223,79.97934360419654,18.42446365825884,0.0,9.898744823962527,9.898744833915678,89.87808843811223,79.97934360419654
